zipcode,total_res_units,total_com_units,total_rc_units
02108,1169.0,220.0,2.0
02109,1286.0,89.0,8.0
02110,916.0,286.0,0.0
02111,1672.0,171.0,285.0
02113,1146.0,39.0,28.0
02114,2954.0,111.0,4.0
02115,2624.0,32.0,1.0
02116,6401.0,169.0,29.0
02118,4650.0,154.0,13.0
02119,844.0,21.0,7.0
02120,461.0,5.0,0.0
02121,373.0,5.0,0.0
02122,1313.0,9.0,4.0
02124,1596.0,22.0,6.0
02125,1624.0,18.0,2.0
02126,348.0,2.0,0.0
02127,5358.0,66.0,10.0
02128,1395.0,14.0,10.0
02129,3149.0,30.0,7.0
02130,4260.0,41.0,41.0
02131,1306.0,14.0,5.0
02132,1109.0,15.0,2.0
02134,1948.0,40.0,0.0
02135,3915.0,27.0,2.0
02136,601.0,5.0,0.0
02199,15.0,0.0,0.0
02210,670.0,35.0,3.0
02215,2253.0,48.0,3.0
02446,3.0,0.0,0.0
02467,555.0,0.0,0.0
