City,ratio
Beacon Hill,0.000628672
North End,0.000321655
Financial District,0.000173908
Chinatown,0.000265449
North Boston,0.001000083
Northwest Boston,0.000101984
Back Bay / Fenway,0.000184849
Bay Village,0.000108964
South End,7.16E-05
Roxbury,0.000161635
Mission Hill,0.000598465
Dorchester,0.000518519
East Dorchester,0.000104859
Dorchester Center,0.000267005
Uphams Corner,0.00017259
Mattapan,0.000359015
South Boston,0.000109455
East Boston,7.41E-05
Charlestown,0.000163918
Jamaica Plain,0.0001432
Roslindale,0.000236151
West Roxbury,0.000253339
Suffolk County,94.6789224
Allston,0.000113003
Brighton,8.58E-05
Hyde Park,0.000255785
Readville,6.67335411
Prudential,0.001437276
Seaport,0.000123925
Kenmore,0.000137432
Brookline,56.19545455
Chestnut Hill,0.000538389
