sqmiles,name,neighborhood_id,acres,SHAPE__Length,objectid,SHAPE__Area
2.51,Roslindale,15,1605.5682375,53563.9125970801,53,69938272.6715687
3.94,Jamaica Plain,11,2519.24539377,56349.9371613986,54,109737890.399654
0.55,Mission Hill,13,350.8535636,17918.7241134594,55,15283120.0977569
0.29,Longwood,28,188.61194672,11908.7571475506,56,8215903.53553819
0.04,Bay Village,33,26.53983916,4650.63549327393,57,1156070.76937892
0.02,Leather District,27,15.63990811,3237.14053697446,58,681271.672027932
0.12,Chinatown,26,76.32440999,9736.59041261274,59,3324678.00018843
0.2,North End,14,126.91043901,16177.8268154854,60,5527505.98885276
3.29,Roxbury,16,2108.46907176,49488.8004846834,61,91844545.386504
0.74,South End,32,471.53535561,17912.3335694751,62,20539997.9299617
0.62,Back Bay,2,399.31441106,19455.6711464258,63,17394066.169157
4.71,East Boston,8,3012.05959319,121089.100851617,64,131384488.000095
1.36,Charlestown,4,871.54122286,57509.6886451306,65,37964183.810438
0.3,West End,31,190.4907324,17728.5900266436,66,8297743.11214943
0.31,Beacon Hill,30,200.15690397,14303.8290167191,67,8718799.86184064
0.62,Downtown,7,397.47284644,34612.8044409668,68,17313847.9353118
0.88,Fenway,34,560.61846143,24620.876452192,69,24420442.4980155
2.88,Brighton,25,1840.40859627,48787.5196515173,70,80167877.7812741
5.49,West Roxbury,19,3516.42178618,66067.4198381901,71,153174720.305348
4.57,Hyde Park,10,2927.22116773,66861.2449554131,72,127509244.027662
2.11,Mattapan,12,1352.09835365,42005.7737070132,73,58897168.6956295
7.29,Dorchester,6,4662.8794573,104344.034004848,74,203114216.700628
0.97,South Boston Waterfront,29,621.84352373,38391.3529051883,75,27087395.5437745
2.25,South Boston,17,1439.88880731,64998.4202830411,76,62721305.5603559
1.56,Allston,24,998.53447869,37859.0912416023,77,43495987.9072536
1.29,Harbor Islands,22,824.88865794,92482.1835683053,78,35932006.2113474
